王子,,,,,,,,,,王子,,,,王
皇女,女王,,,,,,,,,公主,,,,王
公主,,夺走公主的,,,,,,,,,,,,王
王国,国,开国的,倾国的,,,,,,,王朝,,,,王
帝国,无政府,反政府的,,,,,,,,皇家,,,,王
剑,大剑,靠剑而生的,舞剑的,,,,,,,剑,刃,,,具
斧,,持斧的,挥斧的,,,,,,,斧,,,,具
长枪,,持枪的,舞枪的,,,,,,,枪,,,,具
弓,,靠弓而生的,拉弓的,,,,,,,弓,,,,具
矢,,射箭的,,,,,,,,矢,,,,具
锤,,锤,舞锤的,,,,,,,锤,,,,具
短剑,小剑,持剑的,,,,,,,,匕,,,,具
盾,,持盾的,,,,,,,,盾,防卫者,,,具
枪,子弹,,,,,,,,,枪,子弹,,,具
刃,刀,,,,,,,,,刀,,,,具
,,糟糕的,超糟糕的,超危险的,危险的,,,,,危险,,危险的,,形
,,厉害的,超厉害的,太过厉害的,给力的,给力的,不给力的,超给力的,,,,超级,究级,形
,,绝对的,唯一的,成为第一的,绝对要,绝对,一定,,,唯一,,仅有,百分百,形
无双,,成为无双的,独一无二的,鹤立鸡群的,,,,,,,,无与伦比的,,形
温柔,,温柔的,超温柔的,太过温柔的,,,不温柔,,,淑女的,,绅士的,,形
悲伤,,悲伤的,超悲伤的,太过悲伤的,悼念,无需悲伤的,不悲伤的,,,伤感,,悲伤,,形
空虚,,空虚的,超空虚的,太过空虚的,白白,白白的,,,,空旷,,虚无,空旷,形
快乐,,快乐的,超快乐的,太过快乐的,享受,无法令人感到快乐的,不快乐的,,,快乐,,欢乐,天赐,形
憎恨,憎恶,令人憎恨的,,,,,,,,憎恨,,,,形
光辉,,光辉的,光彩夺目的,奇妙的,无瑕疵的,完美的,黯淡的,,,,,出色的,令人赞叹的,形
,,不值钱的,一文不值的,,拙劣的,低贱的,不便宜的,,,无聊的,,无聊的,无趣的,形
可爱,,可爱的,超可爱的,太过可爱的,,,不可爱的,,,亮丽,,靓丽,亮丽,形
妖魅,,妖艳的,神秘的,,,,,,,,,,,形
,,白发的,金发的,黑发的,红发的,银发的,,,,,,,,形
寂静,,寂静的,,,,,,,,寂静,,静寂,,形
,,最棒的,最棒,,,,,,,,,,,形
,,最差的,最差,,,,,,,,,,,形
恐怖,,,,,,,,,,恐惧,,,,形
悲剧,,,,,,,,,,,,,,形
愤怒,愤怒,愤怒的,愤怒,被憎恶,愤怒的,,,,,激愤,,愤怒,,形
,,依然,果然,结局,无论怎么做,最终,结果,重新,即使如此,,,,,形
,,新的,不新鲜的,依旧如新的,,,,,,中庸,,,,形
,,旧的,腐朽的,老旧的,,,,,,古老,,,,形
,,有精神的,没精神的,拿出精神,变得精神,,,,,欢快的,,,,形
闪耀,,闪耀的,闪闪发光的,,,,,,,闪光,,闪亮的,,形
,,无名,有名,,,,,,,,,,,形
,,可怕的,可怕的,可怕的,,,,,,,,,,形
,,唯一的,唯一的,,,,,,,,,,,形
品格,,高贵的,高洁的,有气度的,,,,,,,,,,形
,,衰败,落魄,即使衰败也,,,,,,,,,,形
,,无修正的,修正的,,,,,,,,,,,形
超越,,卓越的,突出的,出类拔萃的,超越的,,,,,,,,,形
界限,,超越界限的,不知天高地厚的,,,,,,,,,,,形
,,冷静的,处事不惊的,,,,,,,,,,,形
华丽,,华丽的,,,,,,,,,,,,形
传承,,传说被流传的,传说被流传的,,,,,,,,,,,形
消失,丧失,不灭的,消去的,失去的,,,,,,,,,,形
,,只是,单单是,单纯的,一般来说的,普通的,通常的,没什么亮点的,平凡的,,,普通,永远,形
,,迷失,迷途,徘徊,迷路,,,,,,,野兽,,形
希望,展望,没有希望的,没有展望的,有希望,没有希望,没有展望,通向希望的,有希望的,舍弃希望的,希望,,希望,,形
永远,悠久,永远,永久,成为永恒的,一直,无论何时都会一直,无论何地都会一直,一直,,永恒,,永久,永远,时
时,时间,耗时,停止时间,拨动时间,操纵时间,,,,,时间,,时光,,时
永久,永劫,成为永远的,成为永久的,没有永远,追求永恒的,探求永恒的成为永久,无论何时都,,,永远,,,,时
过去,以前,曾经的,通向过去的,,,,,,,,,过往,,时
未来,,通向未来的,相信未来的,打破未来的,逃避未来的,,,,,未来,,未来,,时
昨天,,昨天也,,,,,,,,昨日,,昨日,,时
明天,,通向明天的,逃离明天的,相信明天的,明天一定,,,,,明日,,明日,,时
来生,前生,通向来生的,来生,关于来生,在来生,,,,,,,,,时
时,时间,有时,失去时间的,时间静止的,,,,,,时光,时钟,,,时
夕,黄昏,被黄昏染上的,,,,,,,,夕暮,,,,时
朝,朝阳,像朝阳一样的,,,,,,,,清晨,,早晨,,时
夜,夜明,被夜色染上的,像夜晚一样的,,,,,,,夜晚,黄昏,,,时
昼,白昼,,,,,,,,,午后,,,,时
深夜,半夜,,,,,,,,,午夜,,子夜,,时
拂晓,,被拂晓染上的,,,,,,,,日暮,,日落,,时
傍晚,宵暗,,,,,,,,,,,,,时
羊,羊羔,养羊的,放羊的,抓羊的,,,,,,羔羊,,,,兽
牛,斗牛,养牛的,抓牛的,杀牛的,,,,,,母牛,,牡牛,,兽
爱,爱情,深爱,被爱的,想被爱的,像是被爱的,没有被爱过的,,,,爱,,,,情
恋爱,恋,落入爱河的,失恋的,,,,,,,,,,,情
友情,信赖,背叛信赖的,破坏友情的,,,,,,,,,,,情
